day_of_week,max,visib,prcp,rain_drizzle,crime_count
4,69.33333333333333,7.8,1.1566666666666665,1.0,0.5486725663716814
5,58.46666666666667,10.0,0.25,0.0,0.5073746312684366
6,64.26666666666667,9.7,0.0433333333333333,1.0,0.528023598820059
7,68.06666666666666,10.0,0.1933333333333333,1.0,0.37168141592920356
1,70.13333333333333,10.0,0.0,0.0,0.5958702064896755
2,70.43333333333334,10.0,0.0,0.0,0.49557522123893805
3,71.13333333333334,10.0,0.0,0.0,0.56047197640118
4,70.36666666666666,9.866666666666667,0.0333333333333333,1.0,0.30678466076696165
5,69.93333333333332,8.866666666666667,0.1066666666666666,1.0,0.5457227138643068
6,58.63333333333333,9.9,0.43,0.0,0.5545722713864307
7,56.0,10.0,0.0,0.0,0.45132743362831856
1,54.36666666666667,10.0,0.0,0.0,0.41887905604719766
2,65.06666666666666,9.733333333333333,0.0,1.0,0.5899705014749262
3,61.8,10.0,0.0033333333333333,0.0,0.5811209439528023
4,54.36666666666667,9.933333333333334,0.0,0.0,0.3893805309734513
5,59.5,9.633333333333333,0.0,0.0,0.471976401179941
6,69.03333333333333,10.0,0.0,0.0,0.5132743362831859
7,64.63333333333334,9.5,0.0,1.0,0.5191740412979351
1,67.33333333333333,7.166666666666667,0.0,1.0,0.49557522123893805
2,62.06666666666667,9.933333333333334,0.0533333333333333,1.0,0.3421828908554572
3,59.06666666666666,10.0,0.02,0.0,0.46017699115044247
4,58.26666666666667,10.0,0.015,1.0,0.5073746312684366
5,49.86666666666667,10.0,0.0,0.0,0.6106194690265486
6,48.43333333333334,7.333333333333333,0.48,1.0,0.04424778761061947
7,58.333333333333336,7.566666666666666,1.6366666666666667,1.0,0.46607669616519176
1,56.53333333333333,9.266666666666667,0.0233333333333333,0.0,0.3421828908554572
2,48.13333333333333,7.066666666666666,0.0966666666666666,1.0,0.26843657817109146
3,43.23333333333333,6.333333333333333,0.3833333333333333,1.0,0.10029498525073746
4,42.2,2.966666666666667,0.42,1.0,0.13274336283185842
