date,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2018-05-29,05,76.13333333333333,61.76666666666666,1011.7,989.6,10.0,4.466666666666666,9.233333333333334,19.0,93.96666666666665,67.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-30,05,76.3,66.43333333333334,1005.55,983.1999999999999,9.866666666666667,6.533333333333334,14.4,23.05,86.73333333333333,69.43333333333334,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-31,05,76.96666666666667,67.8,1003.05,981.2333333333332,9.833333333333334,8.4,15.966666666666667,24.03333333333333,89.13333333333333,67.76666666666667,0.56,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-06-01,06,69.5,60.76666666666667,1009.75,988.1333333333333,9.933333333333334,7.766666666666667,16.633333333333333,22.599999999999998,85.66666666666667,58.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-02,06,59.46666666666667,52.9,1014.0999999999999,991.3333333333334,9.766666666666667,8.1,14.0,18.0,74.53333333333335,51.63333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-03,06,66.93333333333334,55.06666666666666,1010.65,988.0666666666666,9.133333333333333,9.700000000000001,20.333333333333332,27.96666666666667,79.23333333333333,56.800000000000004,0.42500000000000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-06-04,06,67.03333333333333,49.06666666666666,1014.45,991.8666666666667,10.0,8.733333333333334,15.333333333333334,22.666666666666668,79.66666666666667,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-05,06,66.60000000000001,49.6,1010.8,988.5333333333333,10.0,9.966666666666667,16.733333333333334,19.5,79.2,54.36666666666667,0.006666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-06,06,61.9,48.0,1013.55,990.8333333333334,10.0,6.566666666666666,15.633333333333333,18.1,79.43333333333334,48.800000000000004,0.055,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-07,06,72.2,57.800000000000004,1013.8,991.4666666666667,10.0,5.933333333333334,12.366666666666667,19.0,80.63333333333334,59.03333333333333,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-08,06,63.96666666666666,55.86666666666667,1019.45,996.7333333333332,9.933333333333334,6.566666666666666,13.1,20.0,74.89999999999999,59.43333333333334,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-06-09,06,65.60000000000001,59.86666666666667,1016.85,994.1666666666666,8.433333333333334,4.1,14.0,16.05,80.89999999999999,57.06666666666666,0.4566666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-06-10,06,64.5,62.56666666666666,1011.55,988.9,4.033333333333333,5.366666666666667,12.700000000000001,21.3,74.73333333333333,58.53333333333333,0.6333333333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-06-11,06,64.36666666666666,62.5,1011.8,989.0333333333333,4.766666666666667,7.7,12.366666666666667,,70.13333333333333,60.333333333333336,0.17333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-12,06,70.43333333333334,66.53333333333333,1011.45,989.3000000000001,7.3999999999999995,5.533333333333334,9.233333333333334,,80.33333333333333,64.16666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-13,06,74.53333333333333,62.9,1012.5,989.8666666666667,7.533333333333334,6.2,13.033333333333333,21.033333333333335,80.63333333333334,66.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-14,06,71.60000000000001,52.699999999999996,1016.5999999999999,994.3000000000001,9.966666666666667,2.966666666666667,8.6,,80.63333333333334,60.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-15,06,74.7,57.96666666666667,1014.95,992.6666666666666,10.0,5.166666666666667,10.933333333333332,17.1,88.53333333333335,62.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-16,06,80.8,69.39999999999999,1013.0999999999999,991.4333333333334,9.6,8.233333333333334,19.7,29.333333333333332,92.10000000000001,67.10000000000001,0.6333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-06-17,06,85.13333333333334,71.96666666666665,1013.85,992.1,10.0,8.366666666666667,16.033333333333335,21.3,93.89999999999999,73.89999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-18,06,85.89999999999999,72.36666666666666,1013.0,991.2333333333332,10.0,10.433333333333334,18.733333333333334,24.666666666666668,94.26666666666667,76.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-19,06,71.76666666666667,67.2,1013.45,991.4333333333334,8.433333333333332,6.3999999999999995,14.733333333333334,23.05,87.60000000000001,64.46666666666667,0.16333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-20,06,69.73333333333333,64.36666666666667,1010.9000000000001,988.6,9.1,5.3999999999999995,10.966666666666667,14.0,79.0,65.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-21,06,66.23333333333333,63.93333333333334,1008.6,986.1,5.1000000000000005,8.700000000000001,14.299999999999999,20.033333333333335,71.66666666666667,64.26666666666667,0.22333333333333336,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-22,06,63.166666666666664,60.833333333333336,1007.3499999999999,984.6,6.966666666666666,10.200000000000001,14.0,23.05,66.96666666666667,60.333333333333336,1.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-23,06,67.33333333333333,58.86666666666667,1006.65,984.1,8.466666666666667,4.766666666666667,11.633333333333333,,78.93333333333334,60.56666666666666,0.43999999999999995,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-24,06,72.36666666666667,62.5,1011.3499999999999,989.2666666666668,9.799999999999999,5.5,14.299999999999999,17.6,80.89999999999999,63.26666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-25,06,69.33333333333333,61.6,1018.4000000000001,995.7333333333332,9.133333333333333,9.200000000000001,14.666666666666666,19.366666666666667,79.73333333333333,62.23333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-26,06,73.56666666666666,64.3,1014.15,991.9,9.866666666666667,9.2,14.333333333333334,19.666666666666668,83.60000000000001,64.3,0.16333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-06-27,06,72.8,68.03333333333335,1007.8,985.5666666666666,9.366666666666667,7.1000000000000005,12.333333333333334,18.733333333333334,80.06666666666666,68.3,0.71,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-06-28,06,75.10000000000001,65.53333333333333,1011.95,989.8333333333334,8.633333333333333,2.5333333333333337,9.633333333333333,,87.16666666666667,65.23333333333333,0.023333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-29,06,81.7,71.39999999999999,1012.5,990.5666666666666,10.0,7.333333333333333,13.333333333333334,18.7,94.16666666666667,70.10000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,06,86.06666666666666,76.53333333333335,1012.5,990.9333333333334,10.0,9.266666666666667,14.966666666666667,21.066666666666666,94.46666666666665,75.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,07,84.13333333333334,73.76666666666667,1010.55,988.7666666666668,9.933333333333334,10.833333333333334,24.366666666666664,37.266666666666666,93.06666666666668,75.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-02,07,76.53333333333335,65.66666666666667,1014.7,992.6,10.0,5.733333333333333,10.6,18.55,84.93333333333334,69.76666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-03,07,76.93333333333334,63.699999999999996,1019.0999999999999,996.7333333333332,10.0,4.666666666666667,9.966666666666667,,89.89999999999999,63.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
