,day_of_week,crime_count
548,5,0.9015384615384615
549,6,0.7938461538461539
550,7,0.8246153846153846
551,1,0.72
552,2,0.47692307692307695
553,3,0.4676923076923077
554,4,0.8676923076923077
555,5,0.5415384615384615
556,6,0.7907692307692308
557,7,0.84
558,1,0.8430769230769231
559,2,0.7569230769230769
560,3,0.8984615384615384
561,4,0.6061538461538462
562,5,0.6861538461538461
563,6,0.8430769230769231
564,7,0.6646153846153846
565,1,0.48615384615384616
566,2,0.563076923076923
567,3,0.7784615384615384
568,4,0.6153846153846154
569,5,0.7169230769230769
570,6,0.7661538461538462
571,7,0.7230769230769231
572,1,0.9661538461538461
573,2,0.5753846153846154
574,3,0.6461538461538462
575,5,0.7046153846153846
576,6,0.8
577,7,0.6430769230769231
578,1,0.7753846153846153
579,2,0.5876923076923077
580,3,0.4707692307692308
581,4,0.6923076923076923
582,5,0.7630769230769231
583,6,0.6061538461538462
584,7,0.5784615384615385
585,1,0.6861538461538461
586,2,0.6646153846153846
587,3,0.7692307692307693
588,4,0.7784615384615384
589,5,0.7292307692307692
590,6,0.8123076923076923
591,7,0.6492307692307693
592,1,0.4369230769230769
593,2,0.683076923076923
594,3,0.49538461538461537
595,4,0.803076923076923
596,5,0.8461538461538461
597,6,0.8092307692307692
598,7,0.7353846153846154
599,1,0.5969230769230769
600,2,0.5076923076923077
601,3,0.2
602,4,0.40615384615384614
603,5,0.6215384615384615
604,6,0.8984615384615384
605,7,0.42153846153846153
606,1,0.6215384615384615
607,2,0.5323076923076923
608,3,0.7230769230769231
609,4,0.5661538461538461
610,5,0.9015384615384615
611,6,0.4461538461538462
612,7,0.3446153846153846
613,1,0.47384615384615386
614,2,0.39076923076923076
615,3,0.5415384615384615
616,4,0.38153846153846155
617,5,0.7723076923076924
618,6,0.7784615384615384
619,7,0.676923076923077
620,1,0.76
621,2,0.6276923076923077
622,3,0.4369230769230769
623,4,0.4523076923076923
624,5,0.5846153846153846
625,6,0.6276923076923077
626,7,0.6615384615384615
627,1,0.6153846153846154
628,2,0.5107692307692308
629,3,0.39692307692307693
630,4,0.49538461538461537
631,5,0.7138461538461538
632,6,0.803076923076923
633,7,0.6646153846153846
634,1,0.9138461538461539
635,3,0.5507692307692308
636,4,0.6553846153846153
637,5,0.6553846153846153
638,6,0.7723076923076924
639,7,0.563076923076923
640,1,0.5169230769230769
641,2,0.2276923076923077
642,3,0.3384615384615385
643,4,0.4707692307692308
644,5,0.7015384615384616
645,6,0.6461538461538462
646,7,0.27692307692307694
647,1,0.3076923076923077
648,2,0.4369230769230769
649,3,0.6153846153846154
650,4,0.7415384615384616
651,5,0.6892307692307692
652,6,0.3292307692307692
653,7,0.28615384615384615
654,1,0.3476923076923077
655,2,0.4707692307692308
656,3,0.39692307692307693
657,5,0.36615384615384616
658,6,0.4584615384615385
659,7,0.37846153846153846
660,1,0.37846153846153846
661,2,0.39384615384615385
662,3,0.39076923076923076
663,4,0.7753846153846153
664,5,0.8153846153846154
665,6,0.5784615384615385
666,7,0.07692307692307693
667,1,0.3323076923076923
668,2,0.3630769230769231
669,3,0.27692307692307694
670,4,0.11076923076923077
671,5,0.30153846153846153
672,6,0.12923076923076923
673,1,0.18153846153846154
674,2,0.015384615384615385
