date,crime_count,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,year,Fri,Mon,Sat,Sun,Thu,Tue,Wed,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2015-10-04,654,52.23333333333333,47.16666666666666,1022.2,998.8,9.733333333333333,10.566666666666666,16.966666666666665,24.366666666666664,58.26666666666667,47.9,0.015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-09-23,735,59.3,49.03333333333333,1021.55,998.5,9.966666666666669,3.8,9.966666666666669,14.95,70.53333333333333,49.06666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-10-12,707,39.96666666666667,31.3,1016.55,992.9666666666668,9.966666666666669,6.3,10.7,17.033333333333335,47.833333333333336,35.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-10-17,817,72.06666666666666,64.86666666666666,1004.8,983.0333333333332,9.966666666666669,12.166666666666666,20.666666666666668,30.3,82.93333333333334,66.23333333333333,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-02-23,671,40.16666666666666,37.333333333333336,1024.3,1000.0666666666666,7.166666666666667,9.733333333333334,16.966666666666665,23.0,44.56666666666666,35.0,0.0733333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-05-04,814,66.73333333333333,55.93333333333334,1010.25,987.4666666666668,9.933333333333334,13.8,25.7,37.66666666666666,73.86666666666667,58.23333333333333,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-03-09,726,36.9,26.933333333333334,1021.55,997.8666666666668,9.2,3.6666666666666665,7.3,,50.36666666666667,24.433333333333334,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-01-02,576,27.766666666666666,20.0,1019.5,995.6666666666666,10.0,9.266666666666666,14.0,19.55,32.666666666666664,20.633333333333333,0.02,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-04-12,751,58.63333333333333,43.13333333333333,1005.9,983.2,9.333333333333334,10.933333333333332,19.33333333333333,27.0,74.86666666666666,44.6,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,761,68.86666666666666,62.6,1016.8,994.2666666666668,8.933333333333334,5.033333333333333,10.266666666666667,15.0,74.36666666666667,57.26666666666667,0.2533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-06-23,778,76.10000000000001,62.76666666666667,1004.9,982.7666666666668,9.633333333333333,10.0,19.366666666666667,25.73333333333333,84.2,66.73333333333333,0.3466666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-10-30,578,37.96666666666667,34.43333333333333,1023.95,333.1666666666667,6.333333333333333,6.966666666666666,13.666666666666666,22.433333333333337,43.23333333333333,33.4,0.3833333333333333,1.2,0.0,1.0,1.0,0.0,0.0,0.0,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2016-08-31,780,73.43333333333334,64.56666666666666,1017.05,994.5666666666666,10.0,7.5,16.400000000000002,22.666666666666668,80.3,69.2,0.0733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2017-07-22,755,77.3,69.60000000000001,1008.7,987.2666666666668,8.766666666666667,7.433333333333333,19.4,26.0,87.23333333333333,71.33333333333333,1.6966666666666663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2017,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-16,721,59.26666666666667,57.5,1009.4,986.2666666666668,4.433333333333334,4.8,12.666666666666666,17.1,69.03333333333333,55.46666666666667,0.11,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018-04-10,714,35.56666666666667,25.23333333333333,1024.85,1000.9,8.5,5.0,12.666666666666666,17.433333333333334,46.0,26.633333333333336,0.0233333333333333,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,679,30.600000000000005,25.4,1012.4,988.8,9.266666666666666,6.866666666666667,12.7,21.0,41.36666666666667,12.666666666666666,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2015,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-10-02,730,67.7,63.46666666666667,1011.65,989.4666666666668,7.599999999999999,7.266666666666667,12.7,19.933333333333334,82.63333333333334,59.2,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2017-06-29,776,75.63333333333334,63.3,1008.1,986.2333333333332,9.833333333333334,11.866666666666667,19.33333333333333,26.666666666666668,82.56666666666666,65.89999999999999,0.77,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-09-17,717,72.13333333333334,58.1,1016.45,994.3333333333334,10.0,9.133333333333333,19.933333333333334,30.3,85.39999999999999,57.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-26,762,55.6,38.7,1007.6,984.4333333333334,9.766666666666666,12.9,21.0,31.666666666666668,65.23333333333333,47.93333333333334,0.0999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
