index,date,day_of_week,district,crime_count,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
7442,2015-12-04,5,24.0,18,12,36.63333333333333,32.13333333333333,1032.45,1008.4,6.633333333333333,8.633333333333333,13.0,17.666666666666668,45.43333333333334,29.633333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4070,2017-07-04,2,24.0,34,7,73.26666666666667,62.333333333333336,1017.55,995.0666666666666,10.0,6.3,12.033333333333331,18.1,83.23333333333333,65.76666666666667,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6123,2018-10-05,5,24.0,24,10,57.29999999999999,51.6,1017.25,994.2333333333332,8.266666666666667,7.666666666666667,14.3,18.366666666666667,65.7,52.6,0.2866666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1077,2018-02-18,7,24.0,17,2,27.46666666666667,23.6,1022.05,998.1666666666666,8.033333333333333,8.033333333333333,15.266666666666666,20.33333333333333,37.8,13.433333333333332,0.1,1.2,1.0,0.0,1.0,0.0,0.0,0.0
6848,2015-11-07,6,24.0,19,11,45.06666666666666,34.333333333333336,1024.25,1000.6666666666666,9.866666666666667,8.200000000000001,17.1,22.899999999999995,65.7,36.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5259,2017-08-27,7,24.0,22,8,68.83333333333333,55.16666666666666,1019.9,997.3666666666668,10.0,7.0,10.3,15.0,78.2,60.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3438,2016-06-04,6,24.0,36,6,69.89999999999999,57.8,1011.2,988.8333333333334,9.333333333333334,6.433333333333334,12.0,20.0,81.63333333333334,60.9,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2399,2018-04-19,4,24.0,18,4,39.5,30.23333333333333,1023.6,997.9,7.366666666666667,9.0,13.633333333333333,20.0,52.6,31.766666666666666,0.1933333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0
130,2017-01-06,5,24.0,17,1,5.5,-5.3,1024.2,999.0,10.0,8.7,12.7,19.0,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6161,2017-10-07,6,24.0,21,10,69.93333333333334,61.96666666666667,1004.5,982.2333333333332,9.166666666666666,13.266666666666666,23.4,34.733333333333334,80.5,60.56666666666666,0.1133333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6623,2017-10-28,6,24.0,27,10,38.333333333333336,31.066666666666663,1011.5,987.7333333333332,9.6,10.566666666666668,16.3,22.366666666666664,45.46666666666667,35.56666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5742,2019-09-18,3,24.0,33,9,70.89999999999999,61.53333333333333,1019.1,996.6666666666666,9.966666666666669,4.933333333333334,9.333333333333334,17.1,82.13333333333334,61.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7933,2016-12-25,7,24.0,12,12,33.46666666666667,30.899999999999995,1028.75,1004.1333333333332,4.966666666666667,8.866666666666667,16.333333333333332,21.03333333333333,36.2,32.36666666666667,0.02,1.2,0.0,1.0,0.0,0.0,0.0,0.0
6909,2017-11-10,5,24.0,26,11,25.2,11.566666666666668,1033.9,1009.3666666666668,9.533333333333331,8.4,15.733333333333334,22.100000000000005,33.86666666666667,19.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5577,2016-09-09,5,24.0,22,9,73.33333333333333,67.73333333333333,1012.7,990.5333333333332,8.533333333333333,3.633333333333333,11.0,15.9,80.13333333333334,64.96666666666665,0.0233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4244,2019-07-12,5,24.0,30,7,72.26666666666667,57.7,1014.25,991.9333333333334,9.933333333333334,4.066666666666666,9.566666666666668,14.5,86.5,59.26666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1209,2018-02-24,6,24.0,24,2,37.13333333333333,32.56666666666667,1021.65,995.9,9.2,7.766666666666667,14.7,17.6,43.6,34.0,0.0033333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3211,2017-05-26,5,24.0,27,5,59.86666666666667,52.76666666666667,1009.05,986.4333333333334,9.1,4.5,10.966666666666669,22.0,72.16666666666667,50.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
